================================================================================

FROM MASTER_DUMPS                  FROM RAW CSV
			 100		1000		20000  instances
================================================================================
60.84			 61.71          61.33          60.95          
30.52			 31.48          30.83          30.44          
434.72			 434.48         435.27         434.77         
136.99			 132.57         138.28         136.87         
74.06			 74.05          73.89          74.15          
2325.55			 2319.57        2324.06        2326.17        
805.62			 801.86         808.24         805.32         
737.67			 748.57         739.28         736.16         
1479.22			 1502.52        1482.74        1479.63        
3229.17			 3230.29        3233.6         3228.42        
980.96			 997.86         985.63         980.92         
304.77			 307.1          303.94         304.65         
626.61			 624.43         629.62         626.42         
1219.25			 1218.05        1221.72        1218.79        
451.57			 463.33         455.03         452.0          
2285.20			 2279.86        2281.36        2284.11        
1030.46			 1026.71        1026.98        1030.6         
558.95			 554.9          562.05         559.45         
467.79			 469.33         468.4          467.76         
468.03			 466.38         467.74         468.34         
844.38			 854.19         849.29         844.94         
1162.55			 1177.24        1162.72        1163.63        
1113.57			 1123.24        1113.22        1113.95        
3898.48			 3879.86        3898.01        3898.26        
701.95			 706.33         702.33         701.87         
936.18			 928.38         935.99         936.35         
294.08			 297.52         294.56         294.09         
318.88			 315.95         320.36         318.56         
191.55			 192.62         191.23         191.35         
1219.09			 1211.9         1216.56        1219.22        
267.68			 265.48         266.56         267.72         
1084.77			 1090.19        1086.13        1085.36        
553.23			 551.52         553.62         553.22         
369.02			 367.14         368.48         368.55         
761.95			 761.19         760.3          762.01         
1491.16			 1474.48        1483.84        1488.45        
1404.02			 1404.38        1400.78        1404.1         
761.98			 761.14         760.82         762.19         
79.83			 81.71          81.31          79.74          
456.90			 453.76         459.23         456.27         
27.57			 25.52          27.26          27.34          
1491.11			 1467.33        1491.31        1490.55        
218.01			 218.43         217.68         218.36         
3388.79			 3391.19        3388.51        3388.47        
848.58			 846.81         846.75         848.17         
91.93			 93.29          91.33          91.95          
252.72			 247.71         252.35         252.29         
75.69			 80.38          75.84          75.77          
761.51			 736.43         753.44         762.39         
3.04			 3.14           2.87           2.96           
605.18			 604.71         606.59         605.24         
457.47			 459.9          457.76         457.27         
522.03			 523.52         524.34         522.22         
75.61			 78.19          74.3           75.57          
5.76			 6.24           5.63           5.79           
725.05			 710.24         726.78         726.88         
354.54			 358.52         358.41         354.38         
296.36			 290.05         297.63         295.77         
233.95			 233.71         234.38         234.03         
1588.47			 1589.57        1593.17        1588.11        
46.72			 45.95          46.9           46.8           
199.01			 193.57         199.44         198.71         
1189.86			 1177.0         1186.36        1190.13        
609.73			 613.05         611.75         609.81         
373.11			 374.62         376.59         373.01         
3683.98			 3685.52        3680.54        3684.32        
1491.39			 1516.95        1503.91        1490.14        
2579.49			 2598.29        2588.62        2580.45        
354.77			 350.38         354.9          355.23         
899.92			 888.14         905.07         899.25         
467.94			 471.05         467.48         468.11         
5526.73			 5534.81        5528.01        5528.27        
997.59			 993.19         1000.22        997.91         
199.61			 201.1          198.34         199.64         
324.59			 314.95         312.79         323.67         
5.37			 5.62           5.31           5.37           
710.02			 707.29         706.68         709.45         
524.81			 532.76         529.31         524.74         
