	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
3276	0.1	10.0	N49	11.0	7.0	4.0	1.905	1.9980000000000002	0.19	0.39299999999999996	0.419	0.493	2.29	2.399	1.905	1.905	0.8318777292576419	0.09973753280839896	0.19	0.08296943231441048	0.21994750656167975	0.419	0.18296943231441049	1.2020997375328084	2.29	2.29
3411	0.1	10.0	N613	11.0	5.0	6.0	0.972	0.16399999999999998	0.0	0.0	0.78	1.179	1.463	0.799	0.972	0.972	0.6643882433356118	0.0	0.0	0.0	0.78	0.78	0.5331510594668489	1.463	1.463	1.463
3442	0.1	10.0	N643	12.0	6.0	6.0	0.9740000000000001	0.16	0.0	0.0	0.653	1.205	1.347	0.87	0.9740000000000001	0.9740000000000001	0.7230883444691908	0.0	0.0	0.0	0.653	0.653	0.4847809948032665	1.347	1.347	1.347
3454	0.1	10.0	N655	13.0	7.0	6.0	0.96	0.196	0.0	0.0	0.545	1.305	1.3330000000000002	0.91	0.96	0.96	0.7201800450112528	0.0	0.0	0.0	0.545	0.545	0.40885221305326336	1.3330000000000002	1.3330000000000002	1.3330000000000002
3601	0.1	10.0	N790	11.0	3.0	8.0	1.146	0.41700000000000004	0.171	0.376	0.212	0.537	1.0759999999999998	0.317	1.146	1.146	1.0650557620817842	0.1492146596858639	0.171	0.15892193308550187	0.1849912739965096	0.212	0.19702602230483268	0.9389179755671904	1.0759999999999998	1.0759999999999998
4126	0.1	15.0	N4	11.0	3.0	8.0	1.173	0.611	0.0	0.0	0.0	0.0	1.412	0.8440000000000001	1.173	1.173	0.8307365439093485	0.0	0.0	0.0	0.0	0.0	0.0	1.2037510656436488	1.412	1.412
4225	0.1	15.0	N49	11.0	7.0	4.0	1.5759999999999998	1.652	0.121	0.326	0.156	0.363	1.75	1.837	1.5759999999999998	1.5759999999999998	0.9005714285714286	0.07677664974619289	0.121	0.06914285714285713	0.09898477157360404	0.156	0.08914285714285715	1.1104060913705582	1.75	1.75
4360	0.1	15.0	N613	11.0	5.0	6.0	0.971	0.16699999999999998	0.0	0.0	0.40700000000000003	0.9229999999999999	1.254	0.653	0.971	0.971	0.7743221690590112	0.0	0.0	0.0	0.40700000000000003	0.40700000000000003	0.3245614035087719	1.254	1.254	1.254
4391	0.1	15.0	N643	12.0	6.0	6.0	0.96	0.196	0.0	0.0	0.48700000000000004	1.083	1.256	0.775	0.96	0.96	0.7643312101910827	0.0	0.0	0.0	0.48700000000000004	0.48700000000000004	0.3877388535031847	1.256	1.256	1.256
4403	0.1	15.0	N655	13.0	7.0	6.0	0.963	0.18899999999999997	0.0	0.0	1.024	1.64	1.6669999999999998	1.148	0.963	0.9404296875	0.5776844631073785	0.0	0.0	0.0	1.024	1.024	0.6142771445710857	1.6669999999999998	1.6669999999999998	1.6279296875
4550	0.1	15.0	N790	11.0	3.0	8.0	1.0	0.204	0.021	0.14300000000000002	0.133	0.42700000000000005	1.033	0.314	1.0	1.0	0.968054211035818	0.021	0.021	0.020329138431752183	0.133	0.133	0.1287512100677638	1.033	1.033	1.033
5075	0.1	20.0	N4	11.0	3.0	8.0	1.1059999999999999	0.515	0.0	0.0	0.0	0.0	1.229	0.684	1.1059999999999999	1.1059999999999999	0.8999186330349878	0.0	0.0	0.0	0.0	0.0	0.0	1.1112115732368897	1.229	1.229
5174	0.1	20.0	N49	11.0	7.0	4.0	2.345	2.263	0.276	0.447	0.37	0.483	2.815	2.45	2.345	2.345	0.83303730017762	0.11769722814498935	0.276	0.0980461811722913	0.1577825159914712	0.37	0.13143872113676733	1.200426439232409	2.815	2.815
5309	0.1	20.0	N613	11.0	5.0	6.0	0.9690000000000001	0.174	0.0	0.0	0.8	1.249	1.367	0.706	0.9690000000000001	0.9690000000000001	0.7088514996342355	0.0	0.0	0.0	0.8	0.8	0.5852231163130944	1.367	1.367	1.367
5340	0.1	20.0	N643	12.0	6.0	6.0	0.963	0.18899999999999997	0.0	0.0	0.41700000000000004	0.997	1.188	0.726	0.963	0.963	0.8106060606060607	0.0	0.0	0.0	0.41700000000000004	0.41700000000000004	0.351010101010101	1.188	1.188	1.188
5352	0.1	20.0	N655	13.0	7.0	6.0	0.968	0.177	0.0	0.0	1.0	1.6369999999999998	1.6380000000000001	1.119	0.968	0.968	0.5909645909645911	0.0	0.0	0.0	1.0	1.0	0.6105006105006106	1.6380000000000001	1.6380000000000001	1.6380000000000001
5499	0.1	20.0	N790	11.0	3.0	8.0	1.1	0.361	0.12	0.325	0.37200000000000005	0.6829999999999999	1.1159999999999999	0.386	1.1	1.1	0.985663082437276	0.10909090909090907	0.12	0.1075268817204301	0.3381818181818181	0.37200000000000005	0.3333333333333333	1.0145454545454546	1.1159999999999999	1.1159999999999999
6024	0.1	25.0	N4	11.0	3.0	8.0	1.2830000000000001	0.737	0.0	0.0	0.0	0.0	1.146	0.5770000000000001	1.2830000000000001	1.2830000000000001	1.1195462478184992	0.0	0.0	0.0	0.0	0.0	0.0	0.8932190179267342	1.146	1.146
6123	0.1	25.0	N49	11.0	7.0	4.0	2.688	2.404	0.344	0.475	0.31	0.46299999999999997	2.517	2.343	2.688	2.688	1.067938021454112	0.12797619047619047	0.344	0.13667063965037746	0.11532738095238095	0.31	0.12316249503377034	0.9363839285714284	2.517	2.517
6258	0.1	25.0	N613	11.0	5.0	6.0	1.171	0.621	0.195	0.593	0.359	0.768	1.3330000000000002	0.795	1.171	1.171	0.8784696174043511	0.16652433817250215	0.195	0.14628657164291073	0.3065755764304013	0.359	0.2693173293323331	1.1383432963279247	1.3330000000000002	1.3330000000000002
6289	0.1	25.0	N643	12.0	6.0	6.0	0.966	0.182	0.0	0.0	0.7959999999999999	1.324	1.51	0.9059999999999999	0.966	0.966	0.6397350993377483	0.0	0.0	0.0	0.7959999999999999	0.7959999999999999	0.5271523178807948	1.51	1.51	1.51
6301	0.1	25.0	N655	13.0	7.0	6.0	0.9690000000000001	0.174	0.0	0.0	0.6940000000000001	1.3880000000000001	1.51	1.09	0.9690000000000001	0.9690000000000001	0.6417218543046357	0.0	0.0	0.0	0.6940000000000001	0.6940000000000001	0.4596026490066225	1.51	1.51	1.51
6448	0.1	25.0	N790	11.0	3.0	8.0	0.971	0.16899999999999998	0.0	0.0	0.20800000000000002	0.455	1.104	0.42	0.971	0.971	0.8795289855072462	0.0	0.0	0.0	0.20800000000000002	0.20800000000000002	0.18840579710144925	1.104	1.104	1.104
6973	0.1	50.0	N4	11.0	3.0	8.0	1.298	0.748	0.0	0.0	0.0	0.0	1.22	0.672	1.298	1.298	1.0639344262295083	0.0	0.0	0.0	0.0	0.0	0.0	0.9399075500770416	1.22	1.22
7072	0.1	50.0	N49	11.0	7.0	4.0	1.2	1.122	0.05	0.218	0.31	0.46299999999999997	2.103	2.218	1.2	1.2	0.5706134094151212	0.04166666666666667	0.05	0.02377555872563005	0.25833333333333336	0.31	0.14740846409890632	1.7525000000000002	2.103	2.103
7207	0.1	50.0	N613	11.0	5.0	6.0	1.294	0.6940000000000001	0.47100000000000003	0.977	0.188	0.583	1.156	0.618	1.294	1.294	1.1193771626297582	0.3639876352395672	0.47100000000000003	0.407439446366782	0.14528593508500773	0.188	0.16262975778546715	0.8933539412673879	1.156	1.156
7238	0.1	50.0	N643	12.0	6.0	6.0	1.37	0.8170000000000001	0.5870000000000001	1.19	0.281	0.8740000000000001	1.156	0.618	1.37	1.37	1.1851211072664365	0.4284671532846715	0.5870000000000001	0.5077854671280276	0.20510948905109488	0.281	0.2430795847750865	0.8437956204379561	1.156	1.156
7250	0.1	50.0	N655	13.0	7.0	6.0	1.78	1.24	1.0979999999999999	1.635	0.316	0.9209999999999999	1.2890000000000001	0.943	1.6211293260473587	1.78	1.3809154383242823	0.6168539325842697	1.0979999999999999	0.8518231186966642	0.17752808988764046	0.2877959927140255	0.24515128006206366	0.7241573033707864	1.1739526411657557	1.2890000000000001
7397	0.1	50.0	N790	11.0	3.0	8.0	1.068	0.33	0.136	0.40399999999999997	0.113	0.317	1.0190000000000001	0.363	1.068	1.068	1.0480863591756626	0.12734082397003746	0.136	0.1334641805691855	0.10580524344569288	0.113	0.11089303238469088	0.9541198501872658	1.0190000000000001	1.0190000000000001
7922	0.1	75.0	N4	11.0	3.0	8.0	1.3	0.755	0.0	0.0	0.0	0.0	1.155	0.581	1.3	1.3	1.1255411255411256	0.0	0.0	0.0	0.0	0.0	0.0	0.8884615384615384	1.155	1.155
8021	0.1	75.0	N49	11.0	7.0	4.0	2.036	2.0780000000000003	0.643	1.54	0.111	0.314	1.5190000000000001	1.5959999999999999	2.036	2.036	1.3403554970375249	0.3158153241650295	0.643	0.4233048057932851	0.054518664047151284	0.111	0.07307439104674128	0.7460707269155206	1.5190000000000001	1.5190000000000001
8156	0.1	75.0	N613	11.0	5.0	6.0	1.213	0.581	0.447	1.0070000000000001	0.0	0.0	0.9570000000000001	0.204	1.213	1.213	1.213	0.3685078318219291	0.447	0.447	0.0	0.0	0.0	0.7889530090684254	0.9570000000000001	0.9570000000000001
8187	0.1	75.0	N643	12.0	6.0	6.0	1.5430000000000001	0.9259999999999999	0.848	1.351	0.0	0.0	0.975	0.156	1.5430000000000001	1.5430000000000001	1.5430000000000001	0.5495787427090084	0.848	0.848	0.0	0.0	0.0	0.6318859364873622	0.975	0.975
8199	0.1	75.0	N655	13.0	7.0	6.0	1.5	1.077	0.705	1.4069999999999998	0.0	0.0	0.968	0.177	1.5	1.5	1.5	0.47	0.705	0.705	0.0	0.0	0.0	0.6453333333333333	0.968	0.968
8346	0.1	75.0	N790	11.0	3.0	8.0	1.109	0.359	0.25	0.5589999999999999	0.0	0.0	0.981	0.13699999999999998	1.109	1.109	1.109	0.2254283137962128	0.25	0.25	0.0	0.0	0.0	0.8845807033363391	0.981	0.981
8871	0.1	100.0	N4	11.0	3.0	8.0	1.2309999999999999	0.6970000000000001	0.0	0.0	0.0	0.0	1.354	0.8029999999999999	1.2309999999999999	1.2309999999999999	0.9091580502215656	0.0	0.0	0.0	0.0	0.0	0.0	1.099918765231519	1.354	1.354
8970	0.1	100.0	N49	11.0	7.0	4.0	1.8	1.8869999999999998	1.167	2.1919999999999997	0.0	0.0	0.9470000000000001	0.223	1.5424164524421593	1.8	1.8	0.6483333333333333	1.167	1.167	0.0	0.0	0.0	0.5261111111111111	0.8114824335904027	0.9470000000000001
9105	0.1	100.0	N613	11.0	5.0	6.0	1.396	0.7290000000000001	0.75	1.199	0.0	0.0	0.9670000000000001	0.18	1.396	1.396	1.396	0.5372492836676218	0.75	0.75	0.0	0.0	0.0	0.6926934097421203	0.9670000000000001	0.9670000000000001
9136	0.1	100.0	N643	12.0	6.0	6.0	1.594	0.9640000000000001	0.938	1.391	0.0	0.0	0.9690000000000001	0.174	1.594	1.594	1.594	0.5884567126725219	0.938	0.938	0.0	0.0	0.0	0.6079046424090339	0.9690000000000001	0.9690000000000001
9148	0.1	100.0	N655	13.0	7.0	6.0	1.484	1.103	0.645	1.3330000000000002	0.0	0.0	0.971	0.16899999999999998	1.484	1.484	1.484	0.4346361185983828	0.645	0.645	0.0	0.0	0.0	0.6543126684636118	0.971	0.971
9295	0.1	100.0	N790	11.0	3.0	8.0	1.091	0.345	0.218	0.529	0.0	0.0	0.9740000000000001	0.158	1.091	1.091	1.091	0.1998166819431714	0.218	0.218	0.0	0.0	0.0	0.8927589367552704	0.9740000000000001	0.9740000000000001
9820	1.0	0.1	N4	11.0	3.0	8.0	1.1740000000000002	0.573	0.002	0.047	0.031	0.207	1.187	0.591	1.1740000000000002	1.1740000000000002	0.9890480202190396	0.0017035775127768314	0.002	0.0016849199663016006	0.02640545144804089	0.031	0.02611625947767481	1.0110732538330496	1.187	1.187
9919	1.0	0.1	N49	11.0	7.0	4.0	1.374	1.327	0.081	0.272	0.971	2.005	1.828	1.881	1.374	1.374	0.75164113785558	0.058951965065502175	0.081	0.04431072210065645	0.7066957787481805	0.971	0.5311816192560175	1.3304221251819504	1.828	1.828
10054	1.0	0.1	N613	11.0	5.0	6.0	1.016	0.149	0.003	0.057	0.633	1.117	1.365	0.7140000000000001	1.016	1.016	0.7443223443223443	0.002952755905511811	0.003	0.0021978021978021982	0.6230314960629921	0.633	0.4637362637362638	1.3435039370078738	1.365	1.365
10085	1.0	0.1	N643	12.0	6.0	6.0	1.021	0.165	0.0	0.0	0.858	1.3519999999999999	1.547	0.9229999999999999	1.021	1.021	0.6599870717517776	0.0	0.0	0.0	0.8403525954946132	0.858	0.5546218487394958	1.5151811949069542	1.547	1.547
10097	1.0	0.1	N655	13.0	7.0	6.0	1.0090000000000001	0.125	0.003	0.055999999999999994	0.857	1.508	1.5930000000000002	1.113	1.0090000000000001	1.0090000000000001	0.6333961079723791	0.0029732408325074326	0.003	0.001883239171374765	0.8493557978196234	0.857	0.5379786566227244	1.5787908820614471	1.5930000000000002	1.5930000000000002
10244	1.0	0.1	N790	11.0	3.0	8.0	1.026	0.17600000000000002	0.024	0.152	0.306	0.6409999999999999	1.122	0.35200000000000004	1.026	1.026	0.9144385026737968	0.023391812865497075	0.024	0.0213903743315508	0.2982456140350877	0.306	0.2727272727272727	1.0935672514619883	1.122	1.122
10769	1.0	1.0	N4	11.0	3.0	8.0	1.23	0.634	0.0	0.0	0.066	0.33399999999999996	1.258	0.687	1.23	1.23	0.9777424483306836	0.0	0.0	0.0	0.05365853658536586	0.066	0.05246422893481717	1.0227642276422764	1.258	1.258
10868	1.0	1.0	N49	11.0	7.0	4.0	1.205	1.005	0.042	0.2	1.038	2.035	1.969	1.99	1.205	1.1608863198458574	0.6119857795835449	0.034854771784232366	0.04046242774566474	0.021330624682579992	0.8614107883817427	1.038	0.5271711528694769	1.63402489626556	1.969	1.8969171483622351
11003	1.0	1.0	N613	11.0	5.0	6.0	1.006	0.11	0.0	0.0	0.667	1.1340000000000001	1.419	0.732	1.006	1.006	0.7089499647639183	0.0	0.0	0.0	0.6630218687872764	0.667	0.4700493305144468	1.4105367793240555	1.419	1.419
11034	1.0	1.0	N643	12.0	6.0	6.0	1.013	0.14	0.0	0.0	0.728	1.276	1.472	0.87	1.013	1.013	0.6881793478260869	0.0	0.0	0.0	0.7186574531095755	0.728	0.4945652173913043	1.4531095755182628	1.472	1.472
11046	1.0	1.0	N655	13.0	7.0	6.0	1.0070000000000001	0.121	0.004	0.06	0.99	1.5819999999999999	1.681	1.155	1.0070000000000001	1.0070000000000001	0.5990481856038071	0.00397219463753724	0.004	0.0023795359904818557	0.9831181727904668	0.99	0.5889351576442593	1.6693147964250248	1.681	1.681
11193	1.0	1.0	N790	11.0	3.0	8.0	1.035	0.198	0.013999999999999999	0.115	0.319	0.659	1.123	0.369	1.035	1.035	0.9216384683882456	0.01352657004830918	0.013999999999999999	0.012466607301869992	0.30821256038647343	0.319	0.2840605520926091	1.0850241545893722	1.123	1.123
11718	1.0	5.0	N4	11.0	3.0	8.0	1.287	0.713	0.009000000000000001	0.095	0.068	0.337	1.239	0.6709999999999999	1.287	1.287	1.0387409200968525	0.006993006993006993	0.009000000000000001	0.007263922518159805	0.05283605283605285	0.068	0.05488297013720742	0.9627039627039627	1.239	1.239
11817	1.0	5.0	N49	11.0	7.0	4.0	1.909	1.936	0.17800000000000002	0.382	0.318	0.8190000000000001	2.102	2.073	1.909	1.909	0.9081826831588964	0.0932425353588266	0.17800000000000002	0.08468125594671741	0.16657936092194867	0.318	0.15128449096098956	1.1011000523834469	2.102	2.102
11952	1.0	5.0	N613	11.0	5.0	6.0	1.0270000000000001	0.231	0.03	0.223	0.591	1.0859999999999999	1.3459999999999999	0.706	1.0270000000000001	1.0270000000000001	0.7630014858841009	0.029211295034079845	0.03	0.02228826151560178	0.5754625121713729	0.591	0.4390787518573551	1.310613437195716	1.3459999999999999	1.3459999999999999
11983	1.0	5.0	N643	12.0	6.0	6.0	1.01	0.132	0.0	0.0	0.757	1.287	1.4869999999999999	0.8740000000000001	1.01	1.01	0.6792199058507061	0.0	0.0	0.0	0.7495049504950495	0.757	0.5090786819098857	1.4722772277227725	1.4869999999999999	1.4869999999999999
11995	1.0	5.0	N655	13.0	7.0	6.0	1.011	0.134	0.006999999999999999	0.085	0.8859999999999999	1.531	1.624	1.122	1.011	1.011	0.6225369458128078	0.00692383778437191	0.006999999999999999	0.004310344827586207	0.8763600395647875	0.8859999999999999	0.5455665024630542	1.6063303659742831	1.624	1.624
12142	1.0	5.0	N790	11.0	3.0	8.0	1.067	0.29100000000000004	0.054000000000000006	0.235	0.297	0.603	1.126	0.344	1.067	1.067	0.9476021314387212	0.05060918462980319	0.054000000000000006	0.04795737122557727	0.27835051546391754	0.297	0.26376554174067496	1.0552952202436738	1.126	1.126
12667	1.0	10.0	N4	11.0	3.0	8.0	1.213	0.609	0.009000000000000001	0.09699999999999999	0.042	0.2	1.245	0.6609999999999999	1.213	1.213	0.97429718875502	0.007419620774938168	0.009000000000000001	0.007228915662650602	0.034624896949711464	0.042	0.033734939759036145	1.0263808738664468	1.245	1.245
12766	1.0	10.0	N49	11.0	7.0	4.0	2.371	2.242	0.28300000000000003	0.45	0.217	0.42200000000000004	2.025	2.02	2.371	2.371	1.1708641975308642	0.1193589202867988	0.28300000000000003	0.1397530864197531	0.0915225643188528	0.217	0.1071604938271605	0.8540700126528891	2.025	2.025
12901	1.0	10.0	N613	11.0	5.0	6.0	1.148	0.521	0.154	0.536	0.475	0.9740000000000001	1.321	0.7070000000000001	1.148	1.148	0.8690386071158213	0.13414634146341464	0.154	0.1165783497350492	0.4137630662020906	0.475	0.35957607872823616	1.1506968641114983	1.321	1.321
12932	1.0	10.0	N643	12.0	6.0	6.0	1.051	0.309	0.071	0.433	0.8290000000000001	1.328	1.5530000000000002	0.9079999999999999	1.051	1.051	0.6767546683837733	0.0675547098001903	0.071	0.045717965228589834	0.7887725975261656	0.8290000000000001	0.5338055376690277	1.4776403425309232	1.5530000000000002	1.5530000000000002
12944	1.0	10.0	N655	13.0	7.0	6.0	1.111	0.561	0.11800000000000001	0.589	0.809	1.4869999999999999	1.605	1.13	1.111	1.111	0.6922118380062305	0.1062106210621062	0.11800000000000001	0.0735202492211838	0.7281728172817282	0.809	0.5040498442367601	1.444644464446445	1.605	1.605
13091	1.0	10.0	N790	11.0	3.0	8.0	1.107	0.349	0.105	0.327	0.20199999999999999	0.486	1.109	0.354	1.107	1.107	0.9981965734896304	0.0948509485094851	0.105	0.09467989179440936	0.18247515808491416	0.20199999999999999	0.18214607754734	1.001806684733514	1.109	1.109
13616	1.0	15.0	N4	11.0	3.0	8.0	1.2209999999999999	0.631	0.005	0.069	0.02	0.14	1.272	0.687	1.2209999999999999	1.2209999999999999	0.9599056603773586	0.004095004095004095	0.005	0.003930817610062893	0.01638001638001638	0.02	0.015723270440251572	1.0417690417690415	1.272	1.272
13715	1.0	15.0	N49	11.0	7.0	4.0	1.696	1.736	0.15	0.35700000000000004	0.215	0.42	2.0	2.01	1.696	1.696	0.848	0.08844339622641509	0.15	0.075	0.1267688679245283	0.215	0.1075	1.179245283018868	2.0	2.0
13850	1.0	15.0	N613	11.0	5.0	6.0	1.306	0.716	0.33299999999999996	0.768	0.387	0.8340000000000001	1.3359999999999999	0.733	1.306	1.306	0.9775449101796408	0.2549770290964778	0.33299999999999996	0.24925149700598806	0.29632465543644715	0.387	0.2896706586826347	1.0229709035222052	1.3359999999999999	1.3359999999999999
13881	1.0	15.0	N643	12.0	6.0	6.0	1.217	0.61	0.321	0.9179999999999999	0.45	1.063	1.3030000000000002	0.727	1.217	1.217	0.9339984650805834	0.2637633525061627	0.321	0.2463545663852648	0.3697617091207888	0.45	0.3453568687643899	1.0706655710764172	1.3030000000000002	1.3030000000000002
13893	1.0	15.0	N655	13.0	7.0	6.0	1.2309999999999999	0.799	0.245	0.825	0.515	1.1909999999999998	1.456	1.054	1.2309999999999999	1.2309999999999999	0.8454670329670331	0.19902518277822906	0.245	0.16826923076923078	0.4183590576766856	0.515	0.35370879120879123	1.182778229082047	1.456	1.456
14040	1.0	15.0	N790	11.0	3.0	8.0	1.109	0.324	0.132	0.374	0.16	0.391	1.148	0.38	1.109	1.109	0.9660278745644599	0.11902614968440035	0.132	0.11498257839721256	0.1442741208295762	0.16	0.1393728222996516	1.0351668169522092	1.148	1.148
14565	1.0	20.0	N4	11.0	3.0	8.0	1.253	0.67	0.031	0.172	0.013000000000000001	0.113	1.213	0.621	1.253	1.253	1.0329760923330584	0.02474062250598564	0.031	0.02555647155812036	0.010375099760574621	0.013000000000000001	0.01071723000824402	0.9680766161213091	1.213	1.213
14664	1.0	20.0	N49	11.0	7.0	4.0	2.1319999999999997	2.096	0.23199999999999998	0.439	0.18600000000000003	0.39799999999999996	1.874	1.901	2.1319999999999997	2.1319999999999997	1.1376734258271075	0.10881801125703564	0.23199999999999998	0.12379935965848453	0.0872420262664165	0.18600000000000003	0.0992529348986126	0.8789868667917449	1.874	1.874
14799	1.0	20.0	N613	11.0	5.0	6.0	1.325	0.72	0.43700000000000006	0.914	0.158	0.5479999999999999	1.1640000000000001	0.546	1.325	1.325	1.138316151202749	0.329811320754717	0.43700000000000006	0.3754295532646048	0.11924528301886793	0.158	0.1357388316151203	0.8784905660377358	1.1640000000000001	1.1640000000000001
14830	1.0	20.0	N643	12.0	6.0	6.0	1.4869999999999999	0.863	0.7240000000000001	1.28	0.275	0.873	1.204	0.649	1.4869999999999999	1.4869999999999999	1.2350498338870433	0.4868863483523873	0.7240000000000001	0.6013289036544851	0.18493611297915266	0.275	0.228405315614618	0.8096839273705446	1.204	1.204
14842	1.0	20.0	N655	13.0	7.0	6.0	1.538	1.105	0.6509999999999999	1.32	0.43	1.083	1.4040000000000001	1.0190000000000001	1.538	1.538	1.0954415954415957	0.4232769830949285	0.6509999999999999	0.4636752136752137	0.27958387516254873	0.43	0.3062678062678063	0.9128738621586476	1.4040000000000001	1.4040000000000001
