	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
565	0.1	0.1	MAP3K7	12.0	5.0	7.0	1.128	0.6859999999999999	0.051	0.221	0.3	0.7809999999999999	1.2830000000000001	1.018	1.128	1.128	0.8791893998441154	0.04521276595744681	0.051	0.03975058456742011	0.26595744680851063	0.3	0.2338269680436477	1.1374113475177303	1.2830000000000001	1.2830000000000001
573	0.1	0.1	MAPK14	11.0	7.0	4.0	0.938	0.242	0.0	0.0	1.262	1.719	1.857	1.245	0.938	0.7432646592709984	0.5051157781367798	0.0	0.0	0.0	1.262	1.262	0.6795907377490576	1.857	1.857	1.4714738510301109
574	0.1	0.1	MAPK3	12.0	5.0	7.0	1.077	0.6559999999999999	0.0	0.0	0.038	0.192	1.173	0.975	1.077	1.077	0.918158567774936	0.0	0.0	0.0	0.035283194057567316	0.038	0.03239556692242114	1.0891364902506964	1.173	1.173
603	0.1	0.1	NCK1	11.0	8.0	3.0	0.938	0.242	0.0	0.0	1.882	2.1109999999999998	2.353	1.713	0.938	0.4984059511158342	0.39864003399915005	0.0	0.0	0.0	1.882	1.882	0.7998300042498936	2.353	2.353	1.2502656748140275
611	0.1	0.1	NFKB1	13.0	7.0	6.0	1.875	2.1590000000000003	0.0	0.0	0.044000000000000004	0.20600000000000002	1.067	0.929	1.875	1.875	1.7572633552014996	0.0	0.0	0.0	0.02346666666666667	0.044000000000000004	0.041237113402061855	0.5690666666666666	1.067	1.067
636	0.1	0.1	PAK1	11.0	9.0	2.0	4.0	3.928	0.0	0.0	0.0	0.0	4.357	4.029	4.0	4.0	0.9180628873077804	0.0	0.0	0.0	0.0	0.0	0.0	1.08925	4.357	4.357
645	0.1	0.1	PDGFRB	12.0	6.0	6.0	0.9740000000000001	0.16	0.0	0.0	1.05	1.516	1.425	1.1159999999999999	0.9740000000000001	0.9276190476190476	0.6835087719298245	0.0	0.0	0.0	1.05	1.05	0.7368421052631579	1.425	1.425	1.3571428571428572
668	0.1	0.1	PIK3R1	15.0	13.0	2.0	7.2379999999999995	5.502000000000001	0.5710000000000001	0.495	0.235	0.424	3.529	4.704	7.2379999999999995	7.2379999999999995	2.051005950694248	0.0788891959104725	0.5710000000000001	0.1618022102578634	0.032467532467532464	0.235	0.06659110229526778	0.4875656258634982	3.529	3.529
743	0.1	0.1	PRKDC	12.0	8.0	4.0	2.458	2.63	0.25	0.433	0.5	1.3659999999999999	2.346	2.556	2.458	2.458	1.0477408354646207	0.1017087062652563	0.25	0.10656436487638532	0.2034174125305126	0.5	0.21312872975277067	0.9544344995931652	2.346	2.346
758	0.1	0.1	PTPN1	12.0	10.0	2.0	4.444	4.437	0.0	0.0	0.0	0.0	3.917	4.31	4.444	4.444	1.1345417411284149	0.0	0.0	0.0	0.0	0.0	0.0	0.8814131413141314	3.917	3.917
778	0.1	0.1	RASA1	12.0	11.0	1.0	0.833	0.373	0.0	0.0	2.1109999999999998	2.6010000000000004	5.444	4.003	0.833	0.3945997157745144	0.15301249081557675	0.0	0.0	0.0	2.1109999999999998	2.1109999999999998	0.3877663482733285	5.444	5.444	2.5788725722406443
796	0.1	0.1	RIPK2	12.0	11.0	1.0	5.875	5.1339999999999995	0.0	0.0	0.0	0.0	5.2139999999999995	5.0169999999999995	5.875	5.875	1.1267740698120443	0.0	0.0	0.0	0.0	0.0	0.0	0.8874893617021278	5.2139999999999995	5.2139999999999995
866	0.1	0.1	STAT3	12.0	12.0	0.0	0.0	0.0	0.0	0.0	5.75	2.437	5.5	2.398	0.0	0.0	0.0	0.0	0.0	0.0	5.75	5.75	1.0454545454545454	5.5	5.5	0.9565217391304348
893	0.1	0.1	TGFBR1	12.0	11.0	1.0	6.3	4.54	0.6	0.49	0.33299999999999996	0.47100000000000003	3.833	4.375	6.3	6.3	1.6436211844508215	0.09523809523809523	0.6	0.15653535090007825	0.05285714285714286	0.33299999999999996	0.08687711974954344	0.6084126984126984	3.833	3.833
925	0.1	0.1	TUBB	13.0	13.0	0.0	9.75	5.629	0.0	0.0	0.0	0.0	11.375	4.2989999999999995	9.75	9.75	0.8571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	1.1666666666666667	11.375	11.375
957	0.1	0.1	YES1	11.0	10.0	1.0	0.833	0.373	0.0	0.0	3.25	2.8169999999999997	5.5	3.279	0.833	0.2563076923076923	0.15145454545454545	0.0	0.0	0.0	3.25	3.25	0.5909090909090909	5.5	5.5	1.6923076923076923
961	0.1	0.1	YWHAQ	14.0	14.0	0.0	0.0	0.0	0.0	0.0	6.154	2.597	6.769	2.722	0.0	0.0	0.0	0.0	0.0	0.0	6.154	6.154	0.9091446299305658	6.769	6.769	1.0999350016249594
